Go.	Ṛuḥ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #8325200 (Yagurten)
Hi.	Azul.	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #1733684 (Amastan)
Hi.	Azul fell-ak.	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #1733702 (Amastan)
Hi.	Azul fell-am.	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #8064188 (Yagurten)
Hi.	Azul fell-awen.	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #8064191 (Yagurten)
Hi.	Azul fell-awent.	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #8064193 (Yagurten)
Hi.	ⴰⵣⵓⵍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #8871588 (aakouri)
Run!	Azzel!	CC-BY 2.0 (France) Attribution: tatoeba.org #906328 (papabear) & #1736550 (Amastan)
Run!	ⴰⵣⵣⵍ	CC-BY 2.0 (France) Attribution: tatoeba.org #906328 (papabear) & #8233441 (aakouri)
Run.	Azzel.	CC-BY 2.0 (France) Attribution: tatoeba.org #4008918 (JSakuragi) & #7664916 (MessDjaaf)
Who?	Anwa?	CC-BY 2.0 (France) Attribution: tatoeba.org #2083030 (CK) & #2848365 (Amastan)
Wow!	Mmuqqel kan!	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #1733671 (Amastan)
Wow!	Ayaa!	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #7205982 (MessDjaaf)
Wow!	ⵜⵉⵍⵉⵍⴰ	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #8233275 (aakouri)
Wow!	ⵜⵉⵍⵉⵍⴰ !	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #8871481 (aakouri)
Fire!	Times!	CC-BY 2.0 (France) Attribution: tatoeba.org #1829639 (Spamster) & #1958637 (Amastan)
Fire!	Qerrset!	CC-BY 2.0 (France) Attribution: tatoeba.org #1829639 (Spamster) & #1958638 (Amastan)
Fire!	Qerres!	CC-BY 2.0 (France) Attribution: tatoeba.org #1829639 (Spamster) & #1958639 (Amastan)
Fire!	Qerrsemt!	CC-BY 2.0 (France) Attribution: tatoeba.org #1829639 (Spamster) & #1958640 (Amastan)
Fire!	Timsi!	CC-BY 2.0 (France) Attribution: tatoeba.org #1829639 (Spamster) & #5667483 (Amgaray)
Fire!	ⵜⴰⴽⴰⵜ	CC-BY 2.0 (France) Attribution: tatoeba.org #1829639 (Spamster) & #8233533 (aakouri)
Help!	Abbuh!	CC-BY 2.0 (France) Attribution: tatoeba.org #435084 (lukaszpp) & #1733679 (Amastan)
Help!	ⴰⵡⵙ	CC-BY 2.0 (France) Attribution: tatoeba.org #435084 (lukaszpp) & #8233358 (aakouri)
Help!	ⴰⵡⵙ !	CC-BY 2.0 (France) Attribution: tatoeba.org #435084 (lukaszpp) & #8871552 (aakouri)
Jump.	ⵏⴹⴻⵔ	CC-BY 2.0 (France) Attribution: tatoeba.org #631038 (Shishir) & #8233403 (aakouri)
Jump.	ⵏⴹⴻⵕ	CC-BY 2.0 (France) Attribution: tatoeba.org #631038 (Shishir) & #8871605 (aakouri)
Stop!	Ḥbes!	CC-BY 2.0 (France) Attribution: tatoeba.org #448320 (FeuDRenais) & #1733672 (Amastan)
Stop!	Bded!	CC-BY 2.0 (France) Attribution: tatoeba.org #448320 (FeuDRenais) & #2043215 (Amastan)
Stop!	ⴱⵉⴷⴷ	CC-BY 2.0 (France) Attribution: tatoeba.org #448320 (FeuDRenais) & #8233363 (aakouri)
Stop!	ⴱⵉⴷⴷ !	CC-BY 2.0 (France) Attribution: tatoeba.org #448320 (FeuDRenais) & #8871553 (aakouri)
